"","Avg.Egg","Avg.2cell","Avg.16cell","Avg.Morula","Avg.Blastula","Avg.Gastrula","Avg.Prism","Avg.Pluteus"
"C00936",0.202946111333333,-0.017104525,-0.056137052,-0.0429849723333333,-0.0311234423333333,-0.102277142,0.00464469766666667,0.0420363246666667
"C00956",-0.225912069,-0.212615221666667,-0.194763713,-0.262250696,-0.00888133899999999,0.0886753026666667,0.494118311,0.321629426
"C00984",0.0280982706666667,-0.0561960301666667,-0.0470346645,-0.0593556258333333,-0.103516016166667,0.445870599166667,-0.1107411,-0.0971254333333333
"C01013",-0.111698584466667,-0.0289128785,-0.0971523665666667,-0.209506958866667,-0.125889710333333,0.0781100992,0.277301233133333,0.217749166466667
"C01041",0.344236673333333,-0.125827533333333,0.113675186666667,0.200767016666667,-0.0784774833333333,-0.116791486666667,-0.162575986666667,-0.175006393333333
"C01089",-0.100220117333333,-0.0347468393333333,-0.140893537,-0.232142073666667,-0.166354818666667,0.100445315,0.369848700666667,0.204063369666667
"C01157",0.53851107,0.213438126666667,0.357276836666667,-0.735947386666667,0.50275379,0.0439623433333334,-0.35387163,-0.566123143333333
"C01384",0.103412920333333,0.0525516,0.0208120746666667,-0.0230462326666667,0.0253019883333333,-0.04075314,-0.0557817796666667,-0.0824974303333333
"C01487",0.12199371885,0.00969385298333333,-0.000129980049999998,0.000336111466666667,-0.0056676504,-0.0253184343166667,-0.0459355678166667,-0.0549720503333333
"C01530",-0.942156033333333,-0.569368166666667,-0.891592566666667,-1.19490763333333,-0.7099964,1.27491646666667,0.9442826,2.0888218
"C01571",-0.0409107086666667,-0.0587920583333333,-0.106579796,-0.175155988,-0.118069187666667,0.100379917333333,0.19055483,0.208572991666667
"C01585",-0.139555071333333,-0.075387474,-0.161284114,-0.271773195,-0.149438672,0.140811615666667,0.365373073,0.291253837
"C01595",-0.0506826586666667,-0.012638849,-0.0843712783333333,-0.116118495333333,-0.0619801763333333,0.063448893,0.108177335333333,0.154165228333333
"C01601",-0.412928332666667,-0.184162175333333,-0.174813644333333,-0.418873983333333,-0.265414372666667,0.324404849333333,0.548749471333333,0.583038188666667
"C01620",0.149191333333333,0.0112107233333333,0.0462795333333333,0.03509855,-0.00540561666666667,-0.0908633833333333,-0.0797475,-0.06576364
"C01672",-0.32448597,0.741194773333333,0.391197006666667,0.572354083333333,-0.1431167,-0.45200478,-0.232630496666667,-0.552507913333333
"C01712",0.039166395,-0.0482335326666667,-0.125430183666667,-0.224491384,-0.132311472,0.0609974913333333,0.179113610333333,0.251189075666667
"C01879",3.517252,3.517252,1.99914066666667,-1.68188433333333,-2.971489,-2.32668666666667,0.917906,-2.971489
"C02037",-0.0862709648333333,0.404993812,0.292775135,0.379006913166667,0.326006417,-0.363823570166667,-0.452646437,-0.500041307
"C02214",0.1056689174,0.0767953952,-0.0050357885,-0.0047966482,-0.0274405965333333,-0.0154974271666667,-0.0445789912666667,-0.085114861
"C02242",0.00654176233333333,-0.006588861,-0.00822486166666667,0.028812204,-0.005135061,-0.004408161,-0.005135061,-0.005861961
"C02291",-0.129070644333333,-0.0944950706666667,-0.118941759666667,0.135423282333333,0.232370475333333,-0.0241783633333333,0.00409210233333333,-0.00520002066666667
"C02356",-0.09142848,-0.121054833333333,-0.0857986333333333,-0.120329743333333,0.0262366633333333,0.23976826,0.0724617766666667,0.08014499
"C02479",-0.018453726,-0.0125703873333333,0.00321097666666667,-0.0112886006666667,-0.0245214106666667,0.015090601,0.0304661343333333,0.018066412
"C02504",-0.0751146166666667,-0.0296140766666667,-0.259195576666667,-0.483494263333333,-0.282863206666667,-0.10601538,0.315642673333333,0.920654443333333
"C02630",-0.182928182,-0.182733692333333,-0.167347204666667,0.0761739256666667,0.787711477,-0.129324222333333,-0.0966486753333333,-0.104903425666667
"C02674",0.191245664333333,0.042718332,0.0352485353333333,-0.0491425443333333,-0.0170035716666667,-0.0536975146666667,-0.043393402,-0.105975500333333
"C02679",-0.054656046,-0.045641389,-0.126439515333333,-0.209686602666667,-0.142380384,0.102957698333333,0.293169236666667,0.182677001666667
"C03547",-0.109046773333333,-0.0813356233333333,-0.148834146666667,-0.237825413333333,-0.158937666666667,-0.00383324666666666,0.22821413,0.511598726666667
"C03665",0.0699555233333333,0.14905158,-0.0556679333333333,-0.128284883333333,-0.03844058,-0.0778028533333333,0.117745916666667,-0.0365567733333333
"C03668",-0.203022232333333,-0.0772599056666667,-0.0236309533333333,0.423523629666667,0.037240878,-0.0688557683333333,-0.0345408993333333,-0.0534547496666667
"C05145",0.0654032598333333,-0.0590717935,-0.0651165071666667,-0.04315326,0.225100947,-0.0146542678333333,-0.0472616191666667,-0.0612467588333333
"C05382",0.210327012333333,0.112756128333333,0.024199365,-0.0134141103333333,-0.129372086,-0.085333029,-0.0520588673333333,-0.0671044133333333
"C05574",-0.583271383666667,-0.189006277,-0.282101324333333,0.0613058886666667,-0.112977833333333,-0.0639766746666667,0.679737891333333,0.490289713
"C06104",0.114146041333333,0.0574519946666667,0.00702960366666666,-0.053030216,-0.058441765,-0.058441765,-0.058441765,0.04972787
"C06423",-0.0601043323333333,-0.0162667936666667,-0.107287241666667,-0.172893011666667,-0.0948219533333333,0.068360005,0.203076174333333,0.179937153333333
"C06424",-0.08909128,-0.0627027433333333,-0.16162321,-0.29516424,-0.17598607,0.152582436666667,0.269985873333333,0.361999223333333
"C06429",-0.00700282226666667,-0.0370930332666667,-0.0643697653333333,-0.0928391147,-0.0803556718666667,0.0193128121666667,0.0871421026333333,0.1752054926
"C06771",0.0229141773333333,-0.010868286,-0.069420486,-0.152077315,-0.0771442716666667,0.056166143,0.049351798,0.181078240333333
"C08348",0.074902106,-0.0333468943333333,0.0151387001666667,0.0226334816666667,-0.00721319566666667,-0.0279123985,-0.0165592775,-0.0276425216666667
"C19670",-0.0506172166666667,-0.31911637,-0.43877012,-0.43227889,-0.359562983333333,0.0740523833333333,0.69519512,0.83109808
"D01924",-0.110476726,-0.145302375666667,-0.234336539666667,-0.324391258333333,-0.184828156,0.118957134,0.490189507,0.390188415333333
