"","GSEA.Mic.m.NM"
"100891950",0.516624571606702
"100891958",0.74713150535521
"100892019",-0.593083227155456
"100892038",-0.204222148065825
"100892049",-0.276605460140362
"100892062",0.582347259840308
"100892098",0.735461791294383
"100892108",0.390690682542854
"100892111",0.222935128579791
"100892112",0.561483680004194
"100892136",0.44266323760861
"100892143",-1.35967425189799
"100892150",-0.156528458507499
"100892171",-0.785180584906935
"100892227",1.85336280908375
"100892228",-0.0184267065899081
"100892239",-0.0401323977027888
"100892277",-0.337279937770914
"100892278",0.216851261993524
"100892284",-0.514228383256577
"100892301",0.723242094796997
"100892331",0.342895432972121
"100892337",0.273144279886283
"100892342",0.757337673239407
"100892349",1.55377735621389
"100892350",1.49955762131101
"100892360",0.749876177303592
"100892369",0.139595762042213
"100892379",3.38187837354152
"100892400",0.0569905950823786
"100892413",-0.188040659873464
"100892425",-0.12467329945048
"100892454",-0.219580545500227
"100892467",-0.0347927884540296
"100892475",-0.30519785704103
"100892488",0.66870112771109
"100892512",1.03979548977728
"100892516",0.203634887961075
"100892519",-0.716877982999127
"100892532",1.23435423703952
"100892544",-1.49572503058105
"100892550",1.14096651304484
"100892588",0.086198986392046
"100892594",0.6289404669769
"100892595",-0.23762016510447
"100892614",0.556836554443964
"100892626",-4.30316241149426
"100892633",1.44645081131295
"100892635",0.0619315572865218
"100892637",-0.368179395070567
"100892654",0.329228075711757
"100892656",0.427237592621241
"100892677",0.650403995449301
"100892708",0.243356068352802
"100892733",0.188299326116471
"100892739",-0.219369504013065
"100892743",-0.279637916344854
"100892751",0.599252710549641
"100892754",0.462114038469036
"100892772",0.694721181227679
"100892777",-0.219944330021512
"100892778",0.305073377377573
"100892801",-0.183637321987077
"100892832",0.761061759572768
"100892842",-0.165118558355571
"100892846",0.29988401762331
"100892847",0.497083614342111
"100892853",0.556808167641902
"100892877",-0.18373603820932
"100892878",-0.0518052485170778
"100892892",-1.69733188007862
"100892938",-0.520996520002351
"100892951",-0.155187926676316
"100892953",0.206918383039974
"100892979",-0.0453581031918714
"100893010",0.0609351466333628
"100893014",-0.168324814958814
"100893019",-0.114522564633835
"100893020",0.383710108691768
