"","Class.L3","V1"
"2035","Metabolism_Carbohydrate","ECB-GENEPAGE-23059482"
"2036","Kinase_TK","ECB-GENEPAGE-23059475"
"2037","Signaling_RTK_Receptor","ECB-GENEPAGE-23059475"
"2038","Adhesion_ECMProteoglycan","ECB-GENEPAGE-23127386"
"2039","GTPase_Ras_Rab","ECB-GENEPAGE-23066943"
"2040","Kinase_Other","ECB-GENEPAGE-23136787"
"2041","Defensome_HSP","ECB-GENEPAGE-23043875"
"2042","Metalloprotease","ECB-GENEPAGE-23046568"
"2043","Immunity_ReceptorNLR","ECB-GENEPAGE-23038639"
"2044","Immunity_ReceptorNLR","ECB-GENEPAGE-23038648"
"2045","Metabolism_Energy","ECB-GENEPAGE-23078054"
"2046","Immunity_ReceptorNLR","ECB-GENEPAGE-23096824"
"2047","Kinase_TK","ECB-GENEPAGE-23066415"
"2048","Signaling_RTK_Receptor","ECB-GENEPAGE-23066415"
"2049","Metabolism_Carbohydrate","ECB-GENEPAGE-23160752"
"2050","Metabolism_Lipid","ECB-GENEPAGE-23135681"
"2051","Immunity_ReceptorScavenger","ECB-GENEPAGE-23133145"
"2052","GPCRRhodopsin_All","ECB-GENEPAGE-23036719"
"2053","Nervous_Chemosensory","ECB-GENEPAGE-23036719"
"2054","Metabolism_Energy","ECB-GENEPAGE-23127680"
"2055","Kinase_Atypical","ECB-GENEPAGE-23084579"
"2056","Immunity_ReceptorScavenger","ECB-GENEPAGE-23010582"
"2057","EggActivation","ECB-GENEPAGE-23186161"
"2058","EggActivation","ECB-GENEPAGE-23010557"
"2059","ZNF","ECB-GENEPAGE-23056342"
"2060","ZNF","ECB-GENEPAGE-23029068"
"2061","ZNF","ECB-GENEPAGE-23029076"
"2062","Nervous_SynapticVesicleRelease","ECB-GENEPAGE-23149466"
"2063","Adhesion_ECMCollagen","ECB-GENEPAGE-23041842"
"2064","Biomineralization_Collagen","ECB-GENEPAGE-23041842"
"2065","Adhesion_ReceptorIgFN3","ECB-GENEPAGE-23193063"
"2066","Metabolism_Carbohydrate","ECB-GENEPAGE-23185356"
"2067","CellCycle","ECB-GENEPAGE-23185356"
"2068","Adhesion_ReceptorIgFN3","ECB-GENEPAGE-23029448"
"2069","DNAReplication","ECB-GENEPAGE-23162277"
"2070","Metabolism_AminoAcid","ECB-GENEPAGE-23090540"
"2071","Adhesion_ReceptorGPCR","ECB-GENEPAGE-23170806"
"2072","GTPase_RhoRegulator_RhoGEFDH","ECB-GENEPAGE-23170766"
"2073","Metabolism_InorganicIon","ECB-GENEPAGE-23042826"
