"","PATHWAY","V1"
"421","spu00100","ECB-GENEPAGE-23038648"
"422","spu01100","ECB-GENEPAGE-23038648"
"423","spu00534","ECB-GENEPAGE-23097350"
"424","spu01100","ECB-GENEPAGE-23034358"
"425","spu00310","ECB-GENEPAGE-23034358"
"426","spu04310","ECB-GENEPAGE-23162613"
"427","spu00500","ECB-GENEPAGE-23121996"
"428","spu01100","ECB-GENEPAGE-23121996"
"429","spu03018","ECB-GENEPAGE-23108545"
"430","spu04080","ECB-GENEPAGE-23025543"
"431","spu00564","ECB-GENEPAGE-23158626"
"432","spu04080","ECB-GENEPAGE-23175343"
"433","spu04145","ECB-GENEPAGE-23042495"
"434","spu04512","ECB-GENEPAGE-23042495"
"435","spu00533","ECB-GENEPAGE-23088250"
"436","spu01100","ECB-GENEPAGE-23104458"
"437","spu00601","ECB-GENEPAGE-23104458"
"438","spu00562","ECB-GENEPAGE-23175224"
"439","spu04070","ECB-GENEPAGE-23175224"
"440","spu01100","ECB-GENEPAGE-23175224"
"441","spu00260","ECB-GENEPAGE-23122336"
"442","spu00270","ECB-GENEPAGE-23122336"
"443","spu01100","ECB-GENEPAGE-23122336"
"444","spu04144","ECB-GENEPAGE-23165095"
"445","spu04080","ECB-GENEPAGE-23098222"
"446","spu04146","ECB-GENEPAGE-23083838"
"447","spu00564","ECB-GENEPAGE-23136176"
"448","spu00565","ECB-GENEPAGE-23136176"
"449","spu00592","ECB-GENEPAGE-23136176"
"450","spu01100","ECB-GENEPAGE-23136176"
"451","spu00590","ECB-GENEPAGE-23136176"
"452","spu00830","ECB-GENEPAGE-23059123"
"453","spu01100","ECB-GENEPAGE-23059123"
"454","spu00340","ECB-GENEPAGE-23141842"
"455","spu01100","ECB-GENEPAGE-23141842"
"456","spu04146","ECB-GENEPAGE-23060418"
"457","spu04142","ECB-GENEPAGE-23094685"
"458","spu00514","ECB-GENEPAGE-23102131"
"459","spu01100","ECB-GENEPAGE-23102131"
"460","spu00512","ECB-GENEPAGE-23102131"
"461","spu01100","ECB-GENEPAGE-23067003"
"462","spu00650","ECB-GENEPAGE-23067003"
"463","spu01100","ECB-GENEPAGE-23091483"
"464","spu00980","ECB-GENEPAGE-23091483"
"465","spu00040","ECB-GENEPAGE-23091483"
"466","spu04080","ECB-GENEPAGE-23103448"
"467","spu00562","ECB-GENEPAGE-23179304"
"468","spu01100","ECB-GENEPAGE-23179304"
"469","spu04070","ECB-GENEPAGE-23179304"
"470","spu04142","ECB-GENEPAGE-23106163"
"471","spu00562","ECB-GENEPAGE-23040546"
"472","spu01100","ECB-GENEPAGE-23040546"
"473","spu00010","ECB-GENEPAGE-23040546"
"474","spu04080","ECB-GENEPAGE-23099130"
"475","spu00512","ECB-GENEPAGE-23102070"
"476","spu01100","ECB-GENEPAGE-23033322"
"477","spu00565","ECB-GENEPAGE-23033322"
"478","spu04146","ECB-GENEPAGE-23081063"
"479","spu04120","ECB-GENEPAGE-23109785"
"480","spu01100","ECB-GENEPAGE-23067019"
"481","spu00650","ECB-GENEPAGE-23067019"
"482","spu04142","ECB-GENEPAGE-23081647"
"483","spu01100","ECB-GENEPAGE-23081647"
"484","spu00531","ECB-GENEPAGE-23081647"
"485","spu00534","ECB-GENEPAGE-23169936"
"486","spu04350","ECB-GENEPAGE-23072139"
"487","spu04080","ECB-GENEPAGE-23022588"
"488","spu00532","ECB-GENEPAGE-23175194"
"489","spu04142","ECB-GENEPAGE-23172260"
"490","spu04140","ECB-GENEPAGE-23063714"
"491","spu04070","ECB-GENEPAGE-23147900"
"492","spu04141","ECB-GENEPAGE-23081265"
"493","spu04142","ECB-GENEPAGE-23139543"
"494","spu04145","ECB-GENEPAGE-23139543"
"495","spu01100","ECB-GENEPAGE-23065053"
"496","spu00512","ECB-GENEPAGE-23065053"
"497","spu00604","ECB-GENEPAGE-23065053"
"498","spu04310","ECB-GENEPAGE-23021191"
"499","spu04080","ECB-GENEPAGE-23128486"
"500","spu01100","ECB-GENEPAGE-23137544"
"501","spu00531","ECB-GENEPAGE-23137544"
"502","spu04142","ECB-GENEPAGE-23137544"
"503","spu03022","ECB-GENEPAGE-23176087"
"504","spu04136","ECB-GENEPAGE-23135399"
"505","spu04140","ECB-GENEPAGE-23135399"
"506","spu04142","ECB-GENEPAGE-23163666"
"507","spu03008","ECB-GENEPAGE-23068835"
"508","spu00310","ECB-GENEPAGE-23033894"
"509","spu01100","ECB-GENEPAGE-23033894"
"510","spu00380","ECB-GENEPAGE-23033894"
"511","spu01210","ECB-GENEPAGE-23033894"
"512","spu00532","ECB-GENEPAGE-23128240"
"513","spu04080","ECB-GENEPAGE-23133714"
"514","spu04080","ECB-GENEPAGE-23034794"
"515","spu00480","ECB-GENEPAGE-23087119"
"516","spu00590","ECB-GENEPAGE-23087119"
"517","spu01100","ECB-GENEPAGE-23087119"
"518","spu00430","ECB-GENEPAGE-23087119"
"519","spu04080","ECB-GENEPAGE-23051557"
"520","spu00564","ECB-GENEPAGE-23163579"
"521","spu04068","ECB-GENEPAGE-23051371"
"522","spu01100","ECB-GENEPAGE-23072908"
"523","spu00830","ECB-GENEPAGE-23072908"
"524","spu02010","ECB-GENEPAGE-23013357"
"525","spu00533","ECB-GENEPAGE-23095044"
"526","spu04141","ECB-GENEPAGE-23038490"
"527","spu04120","ECB-GENEPAGE-23038490"
"528","spu04142","ECB-GENEPAGE-23180724"
"529","spu04144","ECB-GENEPAGE-23129732"
"530","spu00350","ECB-GENEPAGE-23147071"
"531","spu01100","ECB-GENEPAGE-23147071"
"532","spu02010","ECB-GENEPAGE-23132079"
"533","spu00533","ECB-GENEPAGE-23157422"
"534","spu00533","ECB-GENEPAGE-23161082"
"535","spu01100","ECB-GENEPAGE-23184978"
"536","spu04070","ECB-GENEPAGE-23184978"
"537","spu00562","ECB-GENEPAGE-23184978"
"538","spu01100","ECB-GENEPAGE-23034351"
"539","spu00310","ECB-GENEPAGE-23034351"
"540","spu04080","ECB-GENEPAGE-23191735"
"541","spu01212","ECB-GENEPAGE-23013414"
"542","spu01100","ECB-GENEPAGE-23013414"
"543","spu01040","ECB-GENEPAGE-23013414"
"544","spu00062","ECB-GENEPAGE-23013414"
"545","spu04080","ECB-GENEPAGE-23046940"
"546","spu04144","ECB-GENEPAGE-23056052"
"547","spu01100","ECB-GENEPAGE-23080145"
"548","spu00601","ECB-GENEPAGE-23080145"
"549","spu01100","ECB-GENEPAGE-23132662"
"550","spu00310","ECB-GENEPAGE-23132662"
"551","spu04080","ECB-GENEPAGE-23103426"
"552","spu00010","ECB-GENEPAGE-23168988"
"553","spu01100","ECB-GENEPAGE-23168988"
"554","spu00620","ECB-GENEPAGE-23168988"
"555","spu01200","ECB-GENEPAGE-23168988"
"556","spu00020","ECB-GENEPAGE-23168988"
"557","spu00534","ECB-GENEPAGE-23153915"
